dates,brand,total_users_reached,total_cost,sponsored_products_s,sponsored_products_u,sponsored_brands_s,sponsored_brands_u,video_s,video_u,OTT_s,OTT_u,sponsored_display_s,sponsored_display_u,display_s,display_u,sales,converted_users
2022-09-11,Brand M,2601799,35514.65931999999,17152.30999999999,15822,0.0,0,0.0,0,4910.857200000003,198681,0.0,0,13451.49212,2387296,48543.95,9993
2022-09-11,Brand N,898663,15397.128149999995,11694.519999999991,14173,0.0,0,0.0,0,0.0,0,31.160000000000004,23,3671.448150000004,884467,37349.59,6510
2022-09-11,Brand R,733503,7293.637079999998,354.0099999999998,170,0.0,0,0.0,0,0.0,0,0.0,0,6939.6270799999975,733333,12555.7,1226
2022-09-12,Brand C,1933994,25790.66103999999,0.0,0,0.0,0,875.4201499999999,45219,16685.57744999999,328440,0.0,0,8229.663440000002,1560335,15538.01,4344
2022-09-12,Brand G,1517473,17524.347560000002,8117.600000000007,3655,0.0,0,0.0,0,189.19019999999816,9703,0.0,0,9217.557359999995,1504115,34300.36,4388
2022-09-12,Brand LA,922887,4569.981389999997,0.0,0,0.0,0,180.00166000000013,17976,0.0,0,0.0,0,4389.979729999997,904911,2282.29,656
2022-09-12,Brand LO,3995019,31785.977459999995,14958.09,9254,0.0,0,0.0,0,0.0,0,0.0,0,16827.887459999994,3985765,82619.08,11149
2022-09-12,Brand M,2935343,58759.65003,16499.120000000006,14506,0.0,0,0.0,0,28078.800899999987,448042,0.0,0,14181.729130000003,2472795,48727.05,9948
2022-09-12,Brand N,867096,14300.423920000012,10603.490000000009,12312,0.0,0,0.0,0,0.0,0,13.22,9,3683.713920000004,854775,36660.96,6300
2022-09-12,Brand R,746827,7679.410829999999,403.9200000000001,184,0.0,0,0.0,0,0.0,0,0.0,0,7275.490829999999,746643,13715.74,1297
2022-09-13,Brand C,1872625,24413.300620000005,0.0,0,0.0,0,684.1240000000005,40163,15313.9776,315680,0.0,0,8415.199020000005,1516782,15429.67,4209
2022-09-13,Brand G,1524186,18543.313049999975,8951.05999999999,3773,0.0,0,0.0,0,0.0,0,0.0,0,9592.253049999985,1520413,32504.48,4189
2022-09-13,Brand LA,898583,4796.128970000005,0.0,0,0.0,0,184.40575000000013,17337,0.0,0,0.0,0,4611.723220000005,881246,2274.13,689
