brand,total_users_reached,total_cost,sponsored_products_s,sponsored_products_u,sponsored_brands_s,sponsored_brands_u,video_s,video_u,OTT_s,OTT_u,sponsored_display_s,sponsored_display_u,display_s,display_u,sales,converted_users
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,9068046,213731.46037431996,86571.26999999993,51785,18857.81999999998,109233,14556.522118009954,534763,15770.029439999995,479731,0.0,0,77975.81881631011,7892534,329461.52,52012
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,11172173,250652.24997734002,92438.36000000004,54977,19303.480000000003,116054,14746.181279399963,549129,22444.60827999999,702014,0.0,0,101719.62041794,9749999,367139.77,57869
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,10474099,263793.33611049986,113044.45999999996,56327,19655.239999999994,117224,14706.343345619978,549589,17983.786498529953,536575,9.81,4,98393.69626634996,9214380,365186.24000000005,57568
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,10306315,267389.65702052007,113934.90000000011,53603,20300.15,118846,15274.087894059972,570342,20665.25819080993,642176,11.66,5,97203.60093565003,8921343,342202.47000000003,52483
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,9995398,262990.5256357099,117114.41000000003,51466,20954.719999999994,120417,14785.525735319961,549172,19589.88538091999,630378,0.0,0,90545.98451946997,8643965,339226.57,52391
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,10111132,266103.00434412004,122345.60000000022,49929,20241.669999999984,115873,14201.478063009969,493068,18308.441374859958,587689,0.0,0,91005.81490624993,8864573,345001.57,54905
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,12455386,544324.3553528301,319213.72000000026,110036,53890.90999999995,293081,15234.74241411001,512383,21563.559922570003,653681,27.2,8,134394.22301614995,10886197,1146792.04,157855
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,13646966,750918.2928524502,472621.3000000002,97047,59419.359999999986,260171,16694.441121879983,566781,33240.70178488992,916075,13.65,2,168928.83994567997,11806890,1099245.75,156924
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,12628788,373576.64617212996,171264.71000000005,54667,35163.94999999999,164195,16566.33675265995,575890,27523.61828840997,851225,0.0,0,123058.03113106002,10982811,632515.82,93988
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,10699829,242360.41478982967,96702.6899999998,41592,17971.899999999972,116106,10418.791528209984,446675,26222.515629509962,835390,0.0,0,91044.51763210996,9260066,278060.77,42180
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,10101651,236666.34224481,95373.2800000001,41283,19250.109999999968,111050,9939.276754519982,422356,24541.43995727998,815770,11.01,4,87551.22553300994,8711188,275056.39999999997,41126
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,10252742,240699.23537606,99480.94999999994,44208,20022.560000000016,118856,9602.482049579994,416764,22856.65729523999,784664,10.52,5,88726.06603124007,8888245,297098.14,44705
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,10841108,233204.39166706006,94708.76000000008,44628,18905.80999999998,116150,9030.499863099994,424996,20544.25293211997,704142,9.72,4,90005.34887184002,9551188,316149.01,48255
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,11469861,237944.9521717898,91860.54999999994,43336,18212.990000000013,113792,8210.798783559983,357650,22969.172638079912,772809,17.080000000000002,7,96674.36075014995,10182267,324012.35,49373
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,11452206,243378.70320390008,89821.38000000009,43660,18175.370000000014,117869,17526.90070476997,618631,23247.93537474997,802718,5.8100000000000005,2,94601.30712438001,9869326,335078.3,50574
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,11831669,255090.37357791988,94969.26000000004,43695,18214.509999999984,112888,20715.307720439945,742581,22711.268401639976,776026,0.0,0,98480.02745583993,10156479,345969.63,51955
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,12475636,252371.82087138,91717.96000000008,42066,17304.07,108339,20642.80110704992,740951,22785.3843206,747243,5.029999999999999,2,99916.57544372999,10837035,342026.05,51264
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,12713841,252919.5885377001,92614.69000000003,42100,17382.390000000025,103866,21322.31478003996,744267,24246.944753459953,796461,6.779999999999999,2,97346.46900420013,11027145,319682.28,47813
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,12029411,257223.07631873997,95587.46,42985,17970.96999999999,112566,19691.229776859956,708841,23316.70947661996,782547,8.51,2,100648.1970652601,10382470,333411.89999999997,49601
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,12960742,253769.37867237997,95435.61000000002,42402,17596.979999999992,115354,17011.512437199977,627705,21163.06889757997,703363,5.99,3,102556.21733760001,11471915,353071.96,53886
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,12958301,259423.64904917998,96787.11999999998,46295,18774.790000000015,117974,16276.32397274995,596159,22093.71542992999,718672,6.44,3,105485.25964650005,11479198,360987.83,53811
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,13172701,262195.15526895,96759.52999999994,45222,19568.609999999993,116416,15316.105121779963,593238,21845.125926129964,702982,11.26,4,108694.52422104013,11714839,355465.54000000004,54291
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,13911899,266119.13978973,96961.97000000006,44708,18707.43999999998,111205,14433.210809159966,574327,20966.864343309964,681671,4.77,2,115044.88463726004,12499986,353231.07,54369
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,13655160,263927.4659948203,93463.91000000009,43992,17930.419999999995,106492,14161.562370139985,558393,20733.594857269993,650678,7.33,2,117630.64876741025,12295603,358290.95,55402
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,13736732,275448.41715801007,95996.78000000007,45531,18753.209999999974,117017,15949.054877589942,575721,23626.69481299995,751845,6.43,3,121116.24746742012,12246615,340843.67,52509
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,14742992,277926.6798384899,98344.38999999993,45292,18861.499999999996,115815,16299.131136849981,576794,22260.592530239963,733414,9.59,4,122151.47617140002,13271673,355489.44,55274
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,14618013,255098.05186422018,82894.59000000011,38180,17444.480000000007,110824,14604.029730699971,571381,19691.17611135997,652546,8.03,3,120455.74602216012,13245079,360962.57999999996,56565
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,10572196,202442.90797469005,88617.13000000003,41293,16534.689999999973,110669,9283.832378479978,411444,16959.643932809973,551355,0.0,0,71047.6116634001,9457435,348282.14,56244
